informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
11/02/2021,Navarra,39.345,,2.900,2.700,,44.945,38.016,"84,6%",,14.003,,,10/02/2021
11/02/2021,País Vasco,107.460,,7.900,9.100,,124.460,84.459,"67,9%",,32.897,,,10/02/2021
11/02/2021,Ceuta,4.320,,400,400,,5.120,2.559,"50,0%",,963,,,10/02/2021
11/02/2021,Melilla,3.150,,400,400,,3.950,2.543,"64,4%",,1.082,,,10/02/2021
11/02/2021,Totales,2.528.955,,192.000,193.800,,2.914.755,2.320.507,"79,6%",,943.278,,,
12/02/2021,Andalucía,475.110,,36.300,34.500,,545.910,431.642,"79,1%",,176.731,,,11/02/2021
12/02/2021,Aragón,81.045,,6.300,5.400,,92.745,88.297,"95,2%",,35.659,,,11/02/2021
12/02/2021,Asturias,83.975,,6.300,4.200,,94.475,78.446,"83,0%",,32.946,,,11/02/2021
12/02/2021,Baleares,42.480,,3.200,4.800,,50.480,40.624,"80,5%",,16.683,,,11/02/2021
12/02/2021,Canarias,93.570,,7.000,8.900,,109.470,99.316,"90,7%",,40.779,,,11/02/2021
12/02/2021,Cantabria,39.345,,2.900,2.400,,44.645,39.707,"88,9%",,17.478,,,11/02/2021
12/02/2021,Castilla y Leon,177.555,,13.500,9.800,,200.855,178.831,"89,0%",,75.433,,,11/02/2021
12/02/2021,Castilla La Mancha,120.375,,9.200,8.300,,137.875,117.671,"85,3%",,41.690,,,11/02/2021
12/02/2021,Cataluña,410.120,,31.400,31.800,,473.320,376.519,"79,5%",,152.091,,,11/02/2021
12/02/2021,C. Valenciana,207.280,,15.700,20.600,,243.580,214.010,"87,9%",,92.433,,,11/02/2021
12/02/2021,Extremadura,74.375,,5.400,4.300,,84.075,75.603,"89,9%",,30.501,,,11/02/2021
12/02/2021,Galicia,128.815,,9.800,11.000,,149.615,124.733,"83,4%",,55.187,,,11/02/2021
12/02/2021,La Rioja,19.955,,1.400,1.300,,22.655,19.968,"88,1%",,8.365,,,11/02/2021
12/02/2021,Madrid,333.375,,25.400,27.700,,386.475,319.144,"82,6%",,139.553,,,11/02/2021
12/02/2021,Murcia,87.305,,6.600,6.200,,100.105,84.111,"84,0%",,32.249,,,11/02/2021
12/02/2021,Navarra,39.345,,2.900,2.700,,44.945,39.196,"87,2%",,14.536,,,11/02/2021
12/02/2021,País Vasco,107.460,,7.900,9.100,,124.460,89.883,"72,2%",,36.125,,,11/02/2021
12/02/2021,Ceuta,4.320,,400,400,,5.120,2.697,"52,7%",,963,,,11/02/2021
12/02/2021,Melilla,3.150,,400,400,,3.950,2.647,"67,0%",,1.083,,,11/02/2021
12/02/2021,Totales,2.528.955,,192.000,193.800,,2.914.755,2.423.045,"83,1%",,1.000.485,,,
15/02/2021,Andalucía,475.110,,36.300,34.500,,545.910,457.018,"83,7%",,190.867,,,14/02/2021
15/02/2021,Aragón,81.045,,6.300,5.400,,92.745,91.343,"98,5%",,36.979,,,13/02/2021
15/02/2021,Asturias,83.975,,6.300,4.200,,94.475,80.484,"85,2%",,33.466,,,13/02/2021
