informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
30/08/2021,Baleares,1.179.720,,278.700,256.400,62.400,1.777.220,1.503.949,"84,6%",818.344,770.311,,,29/08/2021
30/08/2021,Canarias,2.160.960,,509.300,503.700,133.650,3.307.610,2.973.309,"89,9%",1.622.398,1.505.679,,,29/08/2021
30/08/2021,Cantabria,624.345,,99.000,130.200,24.950,878.495,810.502,"92,3%",447.407,395.329,,,26/08/2021
30/08/2021,Castilla y León,2.649.765,,373.900,514.400,112.850,3.650.915,3.494.455,"95,7%",1.930.701,1.749.648,,,28/08/2021
30/08/2021,Castilla - La Mancha,2.135.115,,387.800,460.900,101.375,3.085.190,2.803.658,"90,9%",1.563.465,1.396.222,,,29/08/2021
30/08/2021,Cataluña,8.092.340,,1.535.500,1.698.100,439.500,11.765.440,10.207.906,"86,8%",5.645.191,5.154.897,,,29/08/2021
30/08/2021,C. Valenciana,5.349.430,,1.057.200,906.800,307.250,7.620.680,6.914.324,"90,7%",3.931.907,3.403.774,,,29/08/2021
30/08/2021,Extremadura,1.135.565,,187.900,228.000,51.750,1.603.215,1.573.840,"98,2%",875.343,779.126,,,28/08/2021
30/08/2021,Galicia,2.911.075,,436.400,573.400,131.800,4.052.675,4.049.783,"99,9%",2.231.999,2.002.910,,,29/08/2021
30/08/2021,La Rioja,346.385,,58.600,61.400,15.200,481.585,438.303,"91,0%",248.227,221.592,,,27/08/2021
30/08/2021,Madrid,7.115.859,,1.455.000,1.227.000,381.450,10.179.309,8.938.627,"87,8%",5.052.860,4.525.852,,,29/08/2021
30/08/2021,Murcia,1.575.545,,354.400,259.900,88.100,2.277.945,2.056.016,"90,3%",1.142.833,1.012.759,,,29/08/2021
30/08/2021,Navarra,687.525,,132.400,145.700,32.750,998.375,910.811,"91,2%",505.974,461.757,,,29/08/2021
30/08/2021,País Vasco,2.326.950,,444.700,444.200,110.850,3.326.700,3.091.748,"92,9%",1.723.934,1.565.808,,,29/08/2021
30/08/2021,Ceuta,88.560,,20.400,18.100,4.150,131.210,102.804,"78,4%",57.554,51.860,,,27/08/2021
30/08/2021,Melilla,89.730,,21.400,15.100,5.750,131.980,95.069,"72,0%",53.753,49.873,,,27/08/2021
30/08/2021,Fuerzas Armadas,49.368,,58.300,103.900,2.000,213.568,170.625,"79,9%",91.538,85.245,,,28/08/2021
30/08/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,4.943,"71,7%",3.662,3.289,,,27/08/2021
30/08/2021,Totales,49.767.927,,9.585.980,9.874.600,2.648.335,71.876.842,65.444.891,"91,1%",36.346.563,32.811.664,,,
31/08/2021,Andalucía,9.006.750,,1.853.500,1.805.800,525.450,13.191.500,11.908.862,"90,3%",6.534.877,5.968.704,,,30/08/2021
31/08/2021,Aragón,1.461.645,,249.400,285.700,64.700,2.061.445,1.868.361,"90,6%",1.027.071,955.472,,,30/08/2021
31/08/2021,Asturias,1.163.885,,157.500,235.900,49.700,1.606.985,1.587.788,"98,8%",854.280,801.487,,,30/08/2021
31/08/2021,Baleares,1.219.500,,287.000,256.400,62.400,1.825.300,1.510.400,"82,7%",819.753,775.759,,,30/08/2021
31/08/2021,Canarias,2.247.540,,529.800,503.700,133.650,3.414.690,2.987.863,"87,5%",1.625.416,1.518.238,,,30/08/2021
31/08/2021,Cantabria,645.405,,104.000,130.200,24.950,904.555,821.293,"90,8%",453.035,401.704,,,30/08/2021
31/08/2021,Castilla y León,2.732.835,,386.000,514.400,112.850,3.746.085,3.504.703,"93,6%",1.935.396,1.755.588,,,30/08/2021
31/08/2021,Castilla - La Mancha,2.207.655,,406.300,411.700,101.375,3.127.030,2.811.233,"89,9%",1.566.326,1.401.383,,,30/08/2021
31/08/2021,Cataluña,8.368.460,,1.604.900,1.698.100,439.500,12.110.960,10.207.950,"84,3%",5.645.191,5.154.944,,,29/08/2021
31/08/2021,C. Valenciana,5.540.140,,1.106.200,906.800,307.250,7.860.390,6.951.279,"88,4%",3.943.243,3.434.658,,,30/08/2021
31/08/2021,Extremadura,1.173.005,,197.400,228.000,51.750,1.650.155,1.578.103,"95,6%",876.758,782.627,,,30/08/2021
31/08/2021,Galicia,3.004.675,,458.600,573.400,131.800,4.168.475,4.056.556,"97,3%",2.238.260,2.004.880,,,30/08/2021
31/08/2021,La Rioja,358.085,,61.400,61.400,15.200,496.085,441.758,"89,0%",249.630,224.074,,,30/08/2021
31/08/2021,Madrid,7.362.729,,1.514.600,1.227.000,381.450,10.485.779,8.983.187,"85,7%",5.072.420,4.554.332,,,30/08/2021
31/08/2021,Murcia,1.634.045,,368.000,259.900,88.100,2.350.045,2.065.410,"87,9%",1.145.699,1.036.102,,,30/08/2021
31/08/2021,Navarra,710.925,,138.400,145.700,32.750,1.027.775,912.672,"88,8%",507.124,463.532,,,30/08/2021
31/08/2021,País Vasco,2.406.510,,470.200,444.200,110.850,3.431.760,3.101.175,"90,4%",1.730.153,1.571.907,,,30/08/2021
31/08/2021,Ceuta,92.070,,21.000,18.100,4.150,135.320,103.450,"76,4%",57.770,52.331,,,30/08/2021
31/08/2021,Melilla,93.240,,22.100,15.100,5.750,136.190,95.093,"69,8%",53.769,49.895,,,30/08/2021
31/08/2021,Fuerzas Armadas,49.368,,58.300,103.900,2.000,213.568,170.876,"80,0%",91.560,85.476,,,30/08/2021
31/08/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,5.001,"72,6%",3.685,3.343,,,30/08/2021
31/08/2021,Totales,51.478.467,,9.998.780,9.825.400,2.648.335,73.950.982,65.673.013,"88,8%",36.431.416,32.996.436,,,
01/09/2021,Andalucía,9.006.750,,1.853.500,1.805.800,525.450,13.191.500,11.970.705,"90,7%",6.553.236,6.021.577,,,31/08/2021
01/09/2021,Aragón,1.461.645,,249.400,285.700,64.700,2.061.445,1.875.387,"91,0%",1.030.534,960.260,,,31/08/2021
01/09/2021,Asturias,1.163.885,,157.500,235.900,49.700,1.606.985,1.592.065,"99,1%",855.629,805.170,,,31/08/2021
01/09/2021,Baleares,1.219.500,,287.000,256.400,62.400,1.825.300,1.516.197,"83,1%",821.247,780.481,,,31/08/2021
01/09/2021,Canarias,2.247.540,,529.800,503.700,133.650,3.414.690,3.000.239,"87,9%",1.627.898,1.529.830,,,31/08/2021
01/09/2021,Cantabria,645.405,,104.000,130.200,24.950,904.555,824.567,"91,2%",453.611,404.614,,,31/08/2021
01/09/2021,Castilla y León,2.732.835,,386.000,514.400,112.850,3.746.085,3.518.443,"93,9%",1.938.424,1.767.571,,,31/08/2021
01/09/2021,Castilla - La Mancha,2.207.655,,406.300,411.700,101.375,3.127.030,2.822.765,"90,3%",1.569.568,1.410.213,,,31/08/2021
01/09/2021,Cataluña,8.368.460,,1.604.900,1.698.100,439.500,12.110.960,10.287.820,"84,9%",5.665.987,5.215.105,,,31/08/2021
01/09/2021,C. Valenciana,5.540.140,,1.106.200,906.800,307.250,7.860.390,7.082.120,"90,1%",3.953.628,3.555.747,,,31/08/2021
01/09/2021,Extremadura,1.173.005,,197.400,228.000,51.750,1.650.155,1.585.335,"96,1%",878.395,788.665,,,31/08/2021
01/09/2021,Galicia,3.004.675,,458.600,573.400,131.800,4.168.475,4.090.030,"98,1%",2.241.658,2.035.760,,,31/08/2021
01/09/2021,La Rioja,358.085,,61.400,61.400,15.200,496.085,443.694,"89,4%",250.204,225.625,,,31/08/2021
01/09/2021,Madrid,7.362.729,,1.514.600,1.227.000,381.450,10.485.779,9.031.012,"86,1%",5.092.529,4.585.975,,,31/08/2021
01/09/2021,Murcia,1.634.045,,368.000,259.900,88.100,2.350.045,2.081.040,"88,6%",1.148.115,1.049.756,,,31/08/2021
01/09/2021,Navarra,710.925,,138.400,145.700,32.750,1.027.775,915.177,"89,0%",507.866,465.634,,,31/08/2021
01/09/2021,País Vasco,2.406.510,,470.200,444.200,110.850,3.431.760,3.118.693,"90,9%",1.737.866,1.583.268,,,31/08/2021
01/09/2021,Ceuta,92.070,,21.000,18.100,4.150,135.320,103.814,"76,7%",57.875,52.592,,,31/08/2021
01/09/2021,Melilla,93.240,,22.100,15.100,5.750,136.190,95.099,"69,8%",53.772,49.900,,,30/08/2021
01/09/2021,Fuerzas Armadas,49.368,,58.300,103.900,2.000,213.568,170.996,"80,1%",91.592,85.586,,,31/08/2021
01/09/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,5.022,"72,9%",3.694,3.364,,,31/08/2021
01/09/2021,Totales,51.478.467,,9.998.780,9.825.400,2.648.335,73.950.982,66.130.220,"89,4%",36.533.328,33.376.693,,,
02/09/2021,Andalucía,9.006.750,,1.853.500,1.805.800,525.450,13.191.500,12.028.505,"91,2%",6.568.538,6.073.649,,,01/09/2021
02/09/2021,Aragón,1.461.645,,249.400,285.700,64.700,2.061.445,1.885.589,"91,5%",1.034.716,967.893,,,01/09/2021
02/09/2021,Asturias,1.163.885,,157.500,235.900,49.700,1.606.985,1.595.547,"99,3%",857.178,807.769,,,01/09/2021
02/09/2021,Baleares,1.219.500,,287.000,256.400,62.400,1.825.300,1.520.150,"83,3%",823.265,782.902,,,01/09/2021
02/09/2021,Canarias,2.247.540,,529.800,503.700,133.650,3.414.690,3.009.406,"88,1%",1.630.020,1.537.497,,,01/09/2021
02/09/2021,Cantabria,645.405,,104.000,130.200,24.950,904.555,828.793,"91,6%",455.062,407.702,,,01/09/2021
02/09/2021,Castilla y León,2.732.835,,386.000,514.400,112.850,3.746.085,3.529.550,"94,2%",1.942.165,1.775.575,,,01/09/2021
02/09/2021,Castilla - La Mancha,2.207.655,,406.300,411.700,101.375,3.127.030,2.836.770,"90,7%",1.572.538,1.421.938,,,01/09/2021
02/09/2021,Cataluña,8.368.460,,1.604.900,1.698.100,439.500,12.110.960,10.326.449,"85,3%",5.675.025,5.244.843,,,01/09/2021
02/09/2021,C. Valenciana,5.540.140,,1.106.200,906.800,307.250,7.860.390,7.147.233,"90,9%",3.966.876,3.613.566,,,01/09/2021
02/09/2021,Extremadura,1.173.005,,197.400,228.000,51.750,1.650.155,1.591.242,"96,4%",879.440,793.894,,,01/09/2021
02/09/2021,Galicia,3.004.675,,458.600,573.400,131.800,4.168.475,4.119.593,"98,8%",2.242.055,2.065.101,,,01/09/2021
02/09/2021,La Rioja,358.085,,61.400,61.400,15.200,496.085,446.418,"90,0%",250.906,227.931,,,01/09/2021
02/09/2021,Madrid,7.362.729,,1.514.600,1.227.000,381.450,10.485.779,9.070.433,"86,5%",5.106.027,4.615.111,,,01/09/2021
02/09/2021,Murcia,1.634.045,,368.000,259.900,88.100,2.350.045,2.095.538,"89,2%",1.150.395,1.062.443,,,01/09/2021
02/09/2021,Navarra,710.925,,138.400,145.700,32.750,1.027.775,920.196,"89,5%",508.419,470.527,,,01/09/2021
02/09/2021,País Vasco,2.406.510,,470.200,444.200,110.850,3.431.760,3.137.028,"91,4%",1.743.734,1.597.050,,,01/09/2021
02/09/2021,Ceuta,92.070,,21.000,18.100,4.150,135.320,104.530,"77,2%",58.018,53.205,,,01/09/2021
02/09/2021,Melilla,93.240,,22.100,15.100,5.750,136.190,95.598,"70,2%",54.026,50.251,,,01/09/2021
02/09/2021,Fuerzas Armadas,49.368,,58.300,103.900,2.000,213.568,171.125,"80,1%",91.594,85.715,,,01/09/2021
02/09/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,5.037,"73,1%",3.699,3.379,,,01/09/2021
02/09/2021,Totales,51.478.467,,9.998.780,9.825.400,2.648.335,73.950.982,66.464.730,"89,9%",36.613.696,33.657.941,,,
03/09/2021,Andalucía,9.006.750,,1.853.500,1.805.800,525.450,13.191.500,12.102.296,"91,7%",6.592.291,6.134.268,,,02/09/2021
03/09/2021,Aragón,1.461.645,,249.400,265.100,64.700,2.040.845,1.895.905,"92,9%",1.038.774,975.217,,,02/09/2021
03/09/2021,Asturias,1.163.885,,157.500,235.900,49.700,1.606.985,1.606.231,"100,0%",860.325,816.015,,,02/09/2021
03/09/2021,Baleares,1.231.200,,287.000,256.400,62.400,1.837.000,1.525.417,"83,0%",825.990,785.961,,,02/09/2021
03/09/2021,Canarias,2.247.540,,529.800,503.700,133.650,3.414.690,3.017.355,"88,4%",1.632.809,1.543.292,,,02/09/2021
03/09/2021,Cantabria,645.405,,104.000,125.200,24.950,899.555,835.371,"92,9%",458.903,411.571,,,02/09/2021
03/09/2021,Castilla y León,2.732.835,,386.000,514.400,112.850,3.746.085,3.546.678,"94,7%",1.943.844,1.791.464,,,02/09/2021
03/09/2021,Castilla - La Mancha,2.207.655,,406.300,411.700,101.375,3.127.030,2.855.464,"91,3%",1.576.250,1.437.499,,,02/09/2021
03/09/2021,Cataluña,8.368.460,,1.604.900,1.514.300,439.500,11.927.160,10.373.292,"87,0%",5.672.345,5.307.685,,,02/09/2021
03/09/2021,C. Valenciana,5.540.140,,1.106.200,906.800,307.250,7.860.390,7.171.825,"91,2%",3.979.856,3.630.720,,,02/09/2021
03/09/2021,Extremadura,1.173.005,,197.400,186.000,51.750,1.608.155,1.605.476,"99,8%",881.997,806.295,,,02/09/2021
03/09/2021,Galicia,3.004.675,,458.600,573.400,131.800,4.168.475,4.127.117,"99,0%",2.243.769,2.071.661,,,02/09/2021
03/09/2021,La Rioja,358.085,,61.400,53.300,15.200,487.985,448.331,"91,9%",251.499,229.414,,,02/09/2021
03/09/2021,Madrid,7.362.729,,1.514.600,1.227.000,381.450,10.485.779,9.115.307,"86,9%",5.119.871,4.649.698,,,02/09/2021
03/09/2021,Murcia,1.634.045,,368.000,253.100,88.100,2.343.245,2.103.109,"89,8%",1.152.167,1.068.563,,,02/09/2021
03/09/2021,Navarra,710.925,,138.400,136.600,32.750,1.018.675,924.722,"90,8%",509.376,474.366,,,02/09/2021
03/09/2021,País Vasco,2.406.510,,470.200,444.200,110.850,3.431.760,3.156.686,"92,0%",1.748.723,1.612.942,,,02/09/2021
03/09/2021,Ceuta,92.070,,21.000,18.100,4.150,135.320,104.608,"77,3%",58.046,53.265,,,02/09/2021
03/09/2021,Melilla,93.240,,22.100,15.100,5.750,136.190,96.593,"70,9%",54.529,50.873,,,02/09/2021
03/09/2021,Fuerzas Armadas,49.368,,58.300,103.800,2.000,213.468,171.468,"80,3%",91.792,85.876,,,02/09/2021
03/09/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,5.066,"73,5%",3.721,3.408,,,02/09/2021
03/09/2021,Totales,51.490.167,,9.998.780,9.549.900,2.648.335,73.687.182,66.788.317,"90,6%",36.696.877,33.940.053,,,
06/09/2021,Andalucía,9.006.750,,1.853.500,1.805.800,525.450,13.191.500,12.172.659,"92,3%",6.612.680,6.194.433,,,05/09/2021
06/09/2021,Aragón,1.461.645,,249.400,265.100,64.700,2.040.845,1.900.993,"93,1%",1.040.592,979.110,,,04/09/2021
06/09/2021,Asturias,1.163.885,,157.500,235.900,49.700,1.606.985,1.614.251,"100,5%",862.536,822.459,,,05/09/2021
06/09/2021,Baleares,1.231.200,,287.000,256.400,62.400,1.837.000,1.529.886,"83,3%",827.349,789.388,,,05/09/2021
06/09/2021,Canarias,2.247.540,,529.800,503.700,133.650,3.414.690,3.032.486,"88,8%",1.637.271,1.555.357,,,05/09/2021
06/09/2021,Cantabria,645.405,,104.000,125.200,24.950,899.555,842.031,"93,6%",462.880,415.692,,,05/09/2021
06/09/2021,Castilla y León,2.732.835,,386.000,514.400,112.850,3.746.085,3.564.209,"95,1%",1.945.282,1.807.776,,,05/09/2021
06/09/2021,Castilla - La Mancha,2.207.655,,406.300,411.700,101.375,3.127.030,2.872.957,"91,9%",1.579.827,1.452.091,,,05/09/2021
06/09/2021,Cataluña,8.368.460,,1.604.900,1.514.300,439.500,11.927.160,10.436.503,"87,5%",5.688.713,5.365.268,,,05/09/2021
06/09/2021,C. Valenciana,5.540.140,,1.106.200,906.800,307.250,7.860.390,7.176.165,"91,3%",3.981.106,3.634.067,,,05/09/2021
06/09/2021,Extremadura,1.173.005,,197.400,186.000,51.750,1.608.155,1.612.452,"100,3%",882.567,812.912,,,04/09/2021
06/09/2021,Galicia,3.004.675,,458.600,573.400,131.800,4.168.475,4.171.514,"100,1%",2.269.138,2.103.980,,,05/09/2021
06/09/2021,La Rioja,358.085,,61.400,53.300,15.200,487.985,449.268,"92,1%",251.631,230.265,,,05/09/2021
06/09/2021,Madrid,7.362.729,,1.514.600,1.227.000,381.450,10.485.779,9.207.012,"87,8%",5.144.497,4.723.386,,,05/09/2021
06/09/2021,Murcia,1.634.045,,368.000,253.100,88.100,2.343.245,2.114.256,"90,2%",1.154.443,1.077.971,,,05/09/2021
06/09/2021,Navarra,710.925,,138.400,136.600,32.750,1.018.675,933.834,"91,7%",510.981,482.727,,,05/09/2021
06/09/2021,País Vasco,2.406.510,,470.200,444.200,110.850,3.431.760,3.181.952,"92,7%",1.760.821,1.629.868,,,05/09/2021
06/09/2021,Ceuta,92.070,,21.000,18.100,4.150,135.320,105.006,"77,6%",58.171,53.583,,,05/09/2021
06/09/2021,Melilla,93.240,,22.100,15.100,5.750,136.190,96.622,"70,9%",54.547,50.887,,,02/09/2021
06/09/2021,Fuerzas Armadas,49.368,,58.300,103.800,2.000,213.468,171.574,"80,4%",91.825,85.960,,,05/09/2021
06/09/2021,Sanidad Exterior,0,,4.180,0,2.710,6.890,5.077,"73,7%",3.729,3.413,,,02/09/2021
06/09/2021,Totales,51.490.167,,9.998.780,9.549.900,2.648.335,73.687.182,67.190.707,"91,2%",36.820.586,34.270.593,,,
07/09/2021,Andalucía,9.306.270,,1.936.600,1.805.800,525.450,13.574.120,12.204.444,"89,9%",6.630.781,6.217.730,,,06/09/2021
07/09/2021,Aragón,1.508.445,,275.200,265.100,64.700,2.113.445,1.902.426,"90,0%",1.041.436,980.038,,,06/09/2021
07/09/2021,Asturias,1.200.155,,162.000,235.900,49.700,1.647.755,1.615.726,"98,1%",863.015,823.587,,,06/09/2021
07/09/2021,Baleares,1.262.790,,305.100,256.400,62.400,1.886.690,1.533.749,"81,3%",829.758,791.347,,,06/09/2021
07/09/2021,Canarias,2.324.760,,574.700,503.700,133.650,3.536.810,3.039.648,"85,9%",1.639.933,1.560.727,,,06/09/2021
07/09/2021,Cantabria,666.465,,114.900,125.200,24.950,931.515,844.496,"90,7%",463.790,418.094,,,06/09/2021
07/09/2021,Castilla y León,2.817.075,,412.400,481.200,112.850,3.823.525,3.571.921,"93,4%",1.950.474,1.811.957,,,06/09/2021
07/09/2021,Castilla - La Mancha,2.280.195,,446.800,411.700,101.375,3.240.070,2.881.494,"88,9%",1.581.402,1.459.369,,,06/09/2021
07/09/2021,Cataluña,8.368.460,,1.604.900,1.514.300,375.750,11.863.410,10.472.665,"88,3%",5.698.303,5.392.839,,,06/09/2021
07/09/2021,C. Valenciana,5.719.150,,1.213.700,863.900,307.250,8.104.000,7.194.163,"88,8%",3.982.172,3.651.240,,,06/09/2021
07/09/2021,Extremadura,1.210.445,,218.200,186.000,51.750,1.666.395,1.618.410,"97,1%",883.181,818.483,,,06/09/2021
07/09/2021,Galicia,3.102.379,,507.400,573.400,122.700,4.305.879,4.174.964,"97,0%",2.269.705,2.107.096,,,06/09/2021
07/09/2021,La Rioja,369.785,,67.600,53.300,15.200,505.885,452.450,"89,4%",252.413,232.900,,,06/09/2021
07/09/2021,Madrid,7.602.579,,1.645.800,1.220.900,381.450,10.850.729,9.252.611,"85,3%",5.160.943,4.755.930,,,06/09/2021
07/09/2021,Murcia,1.687.865,,398.000,253.100,68.300,2.407.265,2.120.345,"88,1%",1.156.027,1.082.848,,,06/09/2021
07/09/2021,Navarra,734.325,,151.500,136.600,32.750,1.055.175,936.563,"88,8%",511.771,485.045,,,06/09/2021
07/09/2021,País Vasco,2.484.900,,526.100,444.200,110.850,3.566.050,3.190.412,"89,5%",1.766.058,1.635.087,,,06/09/2021
07/09/2021,Ceuta,95.580,,22.400,18.100,4.150,140.230,105.423,"75,2%",58.368,53.822,,,06/09/2021
07/09/2021,Melilla,96.750,,23.500,15.100,5.750,141.100,96.891,"68,7%",54.774,50.972,,,06/09/2021
07/09/2021,Fuerzas Armadas,48.138,,58.300,103.800,2.000,212.238,171.631,"80,9%",91.846,86.005,,,06/09/2021
07/09/2021,Sanidad Exterior,0,,4.630,0,2.785,7.415,5.090,"68,6%",3.737,3.428,,,06/09/2021
07/09/2021,Totales,52.886.511,,10.669.730,9.467.700,2.555.760,75.579.701,67.385.522,"89,2%",36.889.887,34.418.544,,,
08/09/2021,Andalucía,9.306.270,,1.936.600,1.805.800,525.450,13.574.120,12.253.781,"90,3%",6.647.429,6.259.600,,,07/09/2021
08/09/2021,Aragón,1.508.445,,275.200,265.100,64.700,2.113.445,1.907.191,"90,2%",1.043.218,983.635,,,07/09/2021
08/09/2021,Asturias,1.200.155,,162.000,235.900,49.700,1.647.755,1.617.270,"98,1%",863.577,824.753,,,07/09/2021
08/09/2021,Baleares,1.262.790,,305.100,256.400,62.400,1.886.690,1.536.795,"81,5%",831.438,793.108,,,07/09/2021
08/09/2021,Canarias,2.324.760,,574.700,503.700,133.650,3.536.810,3.045.373,"86,1%",1.641.887,1.565.022,,,07/09/2021
08/09/2021,Cantabria,666.465,,114.900,125.200,24.950,931.515,848.064,"91,0%",465.391,420.801,,,07/09/2021
08/09/2021,Castilla y León,2.817.075,,412.400,481.200,112.850,3.823.525,3.583.803,"93,7%",1.954.944,1.820.878,,,07/09/2021
08/09/2021,Castilla - La Mancha,2.280.195,,446.800,411.700,101.375,3.240.070,2.890.371,"89,2%",1.583.459,1.466.613,,,07/09/2021
08/09/2021,Cataluña,8.368.460,,1.604.900,1.514.300,375.750,11.863.410,10.593.561,"89,3%",5.749.524,5.466.728,,,07/09/2021
08/09/2021,C. Valenciana,5.719.150,,1.213.700,863.900,307.250,8.104.000,7.305.468,"90,1%",3.999.605,3.748.867,,,07/09/2021
08/09/2021,Extremadura,1.210.445,,218.200,186.000,51.750,1.666.395,1.626.587,"97,6%",884.086,826.044,,,07/09/2021
08/09/2021,Galicia,3.102.379,,507.400,573.400,122.700,4.305.879,4.193.809,"97,4%",2.272.065,2.124.058,,,07/09/2021
08/09/2021,La Rioja,369.785,,67.600,53.300,15.200,505.885,454.673,"89,9%",252.693,234.913,,,07/09/2021
08/09/2021,Madrid,7.602.579,,1.645.800,1.220.900,381.450,10.850.729,9.290.605,"85,6%",5.172.233,4.785.450,,,07/09/2021
08/09/2021,Murcia,1.687.865,,398.000,253.100,68.300,2.407.265,2.127.974,"88,4%",1.157.636,1.089.172,,,07/09/2021
08/09/2021,Navarra,734.325,,151.500,136.600,32.750,1.055.175,940.735,"89,2%",512.684,488.725,,,07/09/2021
08/09/2021,País Vasco,2.484.900,,526.100,444.200,110.850,3.566.050,3.202.972,"89,8%",1.767.474,1.646.870,,,07/09/2021
08/09/2021,Ceuta,95.580,,22.400,18.100,4.150,140.230,105.755,"75,4%",58.555,54.012,,,07/09/2021
08/09/2021,Melilla,96.750,,23.500,15.100,5.750,141.100,96.891,"68,7%",54.774,50.972,,,06/09/2021
08/09/2021,Fuerzas Armadas,48.138,,58.300,103.800,2.000,212.238,171.715,"80,9%",91.853,86.087,,,07/09/2021
08/09/2021,Sanidad Exterior,0,,4.630,0,2.785,7.415,5.103,"68,8%",3.746,3.437,,,06/09/2021
08/09/2021,Totales,52.886.511,,10.669.730,9.467.700,2.555.760,75.579.701,67.798.496,"89,7%",37.008.271,34.739.745,,,
09/09/2021,Andalucía,9.306.270,,1.936.600,1.805.800,525.450,13.574.120,12.289.905,"90,5%",6.659.490,6.290.321,,,08/09/2021
09/09/2021,Aragón,1.508.445,,275.200,265.100,64.700,2.113.445,1.916.902,"90,7%",1.045.470,991.865,,,08/09/2021
09/09/2021,Asturias,1.200.155,,162.000,235.900,49.700,1.647.755,1.618.852,"98,2%",863.654,826.313,,,08/09/2021
09/09/2021,Baleares,1.262.790,,305.100,256.400,62.400,1.886.690,1.538.991,"81,6%",831.903,794.991,,,08/09/2021
09/09/2021,Canarias,2.324.760,,574.700,503.700,133.650,3.536.810,3.048.319,"86,2%",1.643.155,1.567.096,,,08/09/2021
09/09/2021,Cantabria,666.465,,114.900,125.200,24.950,931.515,851.179,"91,4%",465.727,423.588,,,08/09/2021
09/09/2021,Castilla y León,2.817.075,,412.400,481.200,112.850,3.823.525,3.592.268,"94,0%",1.956.788,1.827.859,,,08/09/2021
09/09/2021,Castilla - La Mancha,2.280.195,,446.800,411.700,101.375,3.240.070,2.898.267,"89,5%",1.585.556,1.472.929,,,08/09/2021
09/09/2021,Cataluña,8.368.460,,1.604.900,1.514.300,375.750,11.863.410,10.623.451,"89,5%",5.763.557,5.485.895,,,08/09/2021
09/09/2021,C. Valenciana,5.719.150,,1.213.700,863.900,307.250,8.104.000,7.342.220,"90,6%",4.008.273,3.779.021,,,08/09/2021
09/09/2021,Extremadura,1.210.445,,218.200,186.000,51.750,1.666.395,1.628.462,"97,7%",884.262,827.762,,,08/09/2021
09/09/2021,Galicia,3.102.379,,507.400,573.400,122.700,4.305.879,4.195.381,"97,4%",2.272.809,2.125.136,,,08/09/2021
09/09/2021,La Rioja,369.785,,67.600,53.300,15.200,505.885,457.507,"90,4%",253.174,237.415,,,08/09/2021
09/09/2021,Madrid,7.602.579,,1.645.800,1.220.900,381.450,10.850.729,9.327.141,"86,0%",5.181.330,4.815.697,,,08/09/2021
09/09/2021,Murcia,1.687.865,,398.000,253.100,68.300,2.407.265,2.136.404,"88,7%",1.160.019,1.095.708,,,08/09/2021
09/09/2021,Navarra,734.325,,151.500,136.600,32.750,1.055.175,944.282,"89,5%",513.732,491.886,,,08/09/2021
09/09/2021,País Vasco,2.484.900,,526.100,444.200,110.850,3.566.050,3.212.826,"90,1%",1.769.549,1.655.396,,,08/09/2021
09/09/2021,Ceuta,95.580,,22.400,18.100,4.150,140.230,106.261,"75,8%",58.768,54.336,,,08/09/2021
09/09/2021,Melilla,96.750,,23.500,15.100,5.750,141.100,96.922,"68,7%",54.776,51.002,,,07/09/2021
09/09/2021,Fuerzas Armadas,48.138,,58.300,103.800,2.000,212.238,171.777,"80,9%",91.893,86.125,,,08/09/2021
09/09/2021,Sanidad Exterior,0,,4.630,0,2.785,7.415,5.122,"69,1%",3.750,3.461,,,08/09/2021
09/09/2021,Totales,52.886.511,,10.669.730,9.467.700,2.555.760,75.579.701,68.002.439,"90,0%",37.067.635,34.903.802,,,
10/09/2021,Andalucía,9.306.270,,2.019.600,1.805.800,525.450,13.657.120,12.341.490,"90,4%",6.674.320,6.334.932,,,09/09/2021
10/09/2021,Aragón,1.508.445,,275.200,265.100,64.700,2.113.445,1.923.963,"91,0%",1.047.129,997.793,,,09/09/2021
10/09/2021,Asturias,1.200.155,,162.000,235.900,49.700,1.647.755,1.618.869,"98,2%",863.653,826.293,,,08/09/2021
10/09/2021,Baleares,1.272.150,,305.100,256.400,62.400,1.896.050,1.542.010,"81,3%",833.490,796.871,,,09/09/2021
10/09/2021,Canarias,2.324.760,,574.700,503.700,133.650,3.536.810,3.055.262,"86,4%",1.644.695,1.572.905,,,09/09/2021
10/09/2021,Cantabria,666.465,,114.900,125.200,24.950,931.515,856.808,"92,0%",467.883,428.020,,,09/09/2021
10/09/2021,Castilla y León,2.817.075,,412.400,481.200,112.850,3.823.525,3.609.168,"94,4%",1.959.707,1.842.296,,,09/09/2021
10/09/2021,Castilla - La Mancha,2.280.195,,446.800,411.700,101.375,3.240.070,2.909.587,"89,8%",1.588.091,1.482.325,,,09/09/2021
